planeId;airport;flightType;passengers;delayMinutes;flightDuration;date
OS-880;Warsaw;Arrival;207;0;158;02.11.2025
OS-784;Vienna;Departure;141;0;238;30.03.2026
LH-891;Munich;Arrival;107;23;169;20.03.2026
OK-847;Prague;Arrival;136;45;46;24.02.2026
KL-202;Warsaw;Arrival;230;0;128;08.05.2026
OS-584;Amsterdam;Departure;79;0;181;04.11.2025
AF-381;Amsterdam;Departure;53;0;234;05.01.2026
OS-738;Prague;Arrival;115;23;148;24.10.2025
LH-791;Amsterdam;Arrival;138;0;128;08.06.2026
OS-738;Prague;Departure;57;0;72;31.05.2026
OK-283;Warsaw;Arrival;136;117;101;13.02.2026
LH-723;Amsterdam;Arrival;170;0;134;15.06.2026
OK-724;Frankfurt;Arrival;95;0;110;04.06.2026
KL-961;Frankfurt;Arrival;80;157;163;07.12.2025
LO-517;Prague;Departure;209;175;209;19.11.2025
KL-235;Munich;Departure;73;0;165;19.03.2026
QS-175;Warsaw;Departure;186;0;174;29.04.2026
OK-825;Amsterdam;Arrival;49;0;118;24.01.2026
OK-503;Prague;Departure;153;30;234;28.10.2025
QS-523;Frankfurt;Arrival;117;21;83;28.10.2025
QS-505;Prague;Departure;217;0;210;05.03.2026
QS-349;Munich;Departure;147;0;201;06.04.2026
QS-878;Vienna;Departure;134;0;131;07.09.2025
OK-358;Vienna;Departure;51;0;187;07.10.2025
AF-270;Amsterdam;Arrival;120;0;214;31.03.2026
BA-787;Prague;Departure;68;7;124;14.06.2026
QS-216;Frankfurt;Departure;67;28;220;12.09.2025
OK-353;Amsterdam;Departure;165;0;137;24.02.2026
BA-370;Frankfurt;Departure;84;0;80;17.03.2026
AF-763;Vienna;Arrival;164;28;179;28.03.2026
OK-881;Prague;Arrival;187;0;86;27.06.2026
BA-409;Warsaw;Arrival;219;0;150;02.03.2026
OS-665;Munich;Departure;191;0;236;30.09.2025
AF-968;Vienna;Arrival;114;151;94;27.05.2026
KL-282;Amsterdam;Departure;231;0;142;18.04.2026
BA-557;Vienna;Arrival;86;9;109;04.05.2026
KL-690;Vienna;Departure;176;163;76;11.02.2026
AF-403;Prague;Departure;166;0;156;26.02.2026
LH-881;Munich;Departure;124;137;58;06.04.2026
OS-919;Warsaw;Departure;55;0;52;26.01.2026
QS-172;Warsaw;Departure;237;0;54;01.05.2026
KL-730;Warsaw;Arrival;229;19;202;21.01.2026
AF-833;Amsterdam;Departure;90;22;231;25.10.2025
KL-864;Vienna;Departure;95;0;57;13.06.2026
LH-510;Amsterdam;Departure;51;0;172;05.01.2026
LO-358;Vienna;Arrival;218;0;154;01.04.2026
QS-243;Frankfurt;Departure;82;7;179;09.09.2025
AF-713;Warsaw;Arrival;134;42;207;06.04.2026
AF-270;Amsterdam;Arrival;126;16;106;20.11.2025
QS-246;Frankfurt;Departure;69;0;184;14.06.2026
QS-935;Munich;Departure;213;0;91;09.09.2025
OS-286;Vienna;Departure;44;0;56;23.12.2025
OS-718;Prague;Departure;114;0;184;10.01.2026
QS-377;Amsterdam;Arrival;108;0;57;13.10.2025
AF-403;Prague;Arrival;239;0;147;24.12.2025
BA-984;Vienna;Departure;121;158;222;13.05.2026
QS-392;Munich;Arrival;221;0;155;15.12.2025
QS-662;Warsaw;Departure;117;0;128;10.10.2025
LO-453;Warsaw;Departure;77;16;159;01.04.2026
OK-503;Prague;Departure;105;30;59;13.06.2026
LO-921;Amsterdam;Departure;166;26;85;19.09.2025
BA-173;Vienna;Departure;43;0;105;17.10.2025
OK-441;Vienna;Departure;180;0;84;31.12.2025
LO-674;Warsaw;Departure;148;23;80;12.04.2026
OS-869;Amsterdam;Departure;98;37;233;13.05.2026
AF-798;Vienna;Arrival;102;27;159;06.06.2026
LH-971;Vienna;Departure;86;0;63;24.04.2026
AF-801;Warsaw;Departure;205;0;61;16.03.2026
LH-978;Amsterdam;Departure;75;27;208;03.04.2026
OK-147;Munich;Arrival;66;66;105;04.09.2025
KL-145;Warsaw;Departure;154;22;78;12.09.2025
AF-987;Warsaw;Departure;136;153;179;15.04.2026
LH-260;Munich;Arrival;67;49;160;13.05.2026
BA-378;Frankfurt;Arrival;234;23;91;17.09.2025
KL-459;Munich;Arrival;66;0;122;24.03.2026
LO-195;Frankfurt;Arrival;123;163;117;03.10.2025
LH-446;Vienna;Departure;67;24;181;14.06.2026
KL-345;Prague;Arrival;78;28;199;25.05.2026
OS-718;Prague;Arrival;55;0;209;04.10.2025
BA-344;Warsaw;Arrival;231;24;208;10.06.2026
LO-950;Vienna;Departure;199;154;107;27.11.2025
LO-921;Amsterdam;Departure;151;0;60;17.04.2026
OK-411;Amsterdam;Departure;87;0;81;23.03.2026
LO-600;Munich;Departure;137;0;139;28.01.2026
LH-175;Warsaw;Arrival;154;0;160;25.01.2026
LH-487;Warsaw;Departure;133;138;108;25.12.2025
BA-652;Munich;Departure;182;11;240;12.05.2026
KL-782;Prague;Departure;113;0;68;04.11.2025
LO-171;Frankfurt;Arrival;90;6;57;02.06.2026
BA-699;Frankfurt;Departure;108;0;72;09.03.2026
OK-629;Vienna;Departure;230;0;56;26.05.2026
QS-179;Amsterdam;Arrival;127;7;143;21.05.2026
OK-698;Vienna;Arrival;67;131;140;14.10.2025
QS-741;Frankfurt;Departure;228;0;199;09.05.2026
LH-467;Vienna;Arrival;44;0;130;06.11.2025
AF-472;Prague;Arrival;190;66;128;11.10.2025
OS-600;Frankfurt;Departure;192;14;196;11.05.2026
QS-151;Amsterdam;Departure;216;20;49;22.06.2026
KL-864;Vienna;Departure;184;0;230;20.11.2025
OK-877;Amsterdam;Departure;102;179;192;14.01.2026
QS-525;Frankfurt;Departure;78;0;229;17.12.2025
BA-540;Amsterdam;Arrival;209;0;191;15.09.2025
OS-548;Amsterdam;Arrival;147;0;83;22.02.2026
LH-491;Vienna;Departure;223;27;80;24.05.2026
OS-170;Vienna;Departure;169;0;89;17.05.2026
LH-209;Frankfurt;Departure;208;28;219;28.11.2025
KL-902;Prague;Departure;84;102;187;18.03.2026
BA-409;Warsaw;Departure;215;0;225;03.05.2026
AF-834;Vienna;Departure;108;0;218;12.04.2026
AF-740;Prague;Departure;232;14;55;21.01.2026
KL-719;Munich;Departure;202;0;167;18.05.2026
QS-258;Amsterdam;Departure;70;0;234;04.03.2026
LH-487;Warsaw;Arrival;198;0;70;01.05.2026
OS-317;Munich;Arrival;36;71;149;22.12.2025
BA-581;Vienna;Departure;157;29;118;15.06.2026
LH-146;Amsterdam;Arrival;201;22;234;29.12.2025
LH-489;Munich;Arrival;141;76;54;21.10.2025
OS-288;Vienna;Departure;82;105;54;26.05.2026
AF-379;Frankfurt;Arrival;120;0;209;07.05.2026
OS-786;Munich;Arrival;164;0;94;13.10.2025
OS-600;Frankfurt;Departure;200;0;92;28.03.2026
OK-358;Vienna;Departure;180;11;89;21.11.2025
LO-933;Prague;Departure;144;0;67;25.01.2026
LO-316;Frankfurt;Arrival;157;0;108;09.04.2026
OS-919;Warsaw;Departure;227;0;129;27.05.2026
LO-132;Prague;Departure;202;0;105;31.01.2026
KL-619;Warsaw;Departure;75;0;173;23.12.2025
AF-950;Prague;Departure;211;0;120;26.02.2026
LO-294;Vienna;Arrival;157;0;236;18.10.2025
QS-327;Warsaw;Departure;228;0;215;07.12.2025
AF-995;Vienna;Arrival;169;0;225;25.05.2026
LO-697;Frankfurt;Arrival;175;82;191;12.02.2026
AF-478;Amsterdam;Departure;64;27;194;11.05.2026
LO-453;Warsaw;Arrival;151;0;151;15.01.2026
AF-381;Amsterdam;Departure;207;28;50;01.01.2026
AF-413;Prague;Arrival;183;0;153;17.01.2026
OS-873;Prague;Arrival;52;151;53;16.02.2026
AF-469;Vienna;Arrival;231;28;210;18.10.2025
LH-978;Amsterdam;Departure;149;127;141;19.06.2026
KL-690;Vienna;Arrival;202;61;90;21.10.2025
LO-324;Vienna;Arrival;221;31;238;18.03.2026
LH-837;Vienna;Departure;171;0;103;30.03.2026
AF-256;Munich;Departure;83;59;53;24.10.2025
OK-503;Prague;Arrival;96;0;70;25.04.2026
LO-651;Vienna;Arrival;97;17;157;25.02.2026
KL-357;Munich;Arrival;70;0;119;28.05.2026
LH-175;Warsaw;Departure;95;0;81;06.11.2025
LH-199;Amsterdam;Departure;111;0;187;22.12.2025
AF-807;Vienna;Arrival;195;22;171;30.03.2026
BA-610;Prague;Departure;236;0;223;08.02.2026
LH-529;Amsterdam;Departure;82;20;106;09.10.2025
KL-816;Frankfurt;Arrival;153;174;150;11.11.2025
BA-923;Prague;Arrival;134;0;97;21.01.2026
BA-394;Frankfurt;Departure;129;0;230;07.09.2025
LO-813;Amsterdam;Departure;207;6;63;31.05.2026
KL-710;Munich;Arrival;157;0;130;04.01.2026
QS-319;Prague;Arrival;224;0;238;04.03.2026
KL-730;Warsaw;Arrival;136;172;127;19.10.2025
KL-619;Warsaw;Departure;113;0;176;30.10.2025
AF-680;Prague;Departure;229;11;139;12.01.2026
KL-340;Munich;Arrival;224;0;111;30.05.2026
LO-517;Prague;Departure;110;0;129;26.05.2026
OK-337;Warsaw;Arrival;162;26;131;06.05.2026
BA-557;Vienna;Departure;152;0;135;20.05.2026
OS-576;Munich;Arrival;173;46;179;20.01.2026
KL-621;Amsterdam;Arrival;230;0;80;30.09.2025
KL-564;Vienna;Arrival;37;0;161;08.06.2026
OK-458;Amsterdam;Departure;203;0;46;16.04.2026
OK-195;Vienna;Arrival;170;22;118;28.06.2026
AF-204;Munich;Departure;80;0;69;03.03.2026
QS-223;Vienna;Departure;125;0;146;14.04.2026
OS-738;Prague;Arrival;213;0;220;11.09.2025
BA-584;Vienna;Arrival;58;0;141;15.01.2026
OK-458;Amsterdam;Arrival;214;0;172;22.11.2025
KL-580;Vienna;Departure;179;55;180;30.09.2025
